route_id,distance_km,base_hours,rainfall_mm,wind_speed_kmh,toll_queue_m,breakdown_flag,actual_hours,is_delayed
JNPT_TO_BHIWANDI,67.55,0.92,0.67,56.86,17.38,0,0.97,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.02,49.61,7.63,0,13.31,0
JNPT_TO_CHAKAN,136.67,1.75,0.6,54.26,234.94,0,1.74,0
JNPT_TO_CHAKAN,136.67,1.75,0.07,40.45,279.4,0,1.85,0
JNPT_TO_BHIWANDI,67.55,0.92,0.9,45.23,46.33,0,1.03,0
JNPT_TO_BHIWANDI,67.55,0.92,1.49,48.02,16.42,0,0.88,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.73,22.1,163.47,0,13.82,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.66,59.68,86.29,0,11.91,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.92,52.28,7.88,0,1.9,0
JNPT_TO_BHIWANDI,67.55,0.92,3.65,27.66,71.29,0,0.87,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.32,38.63,363.03,0,14.75,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.86,37.8,201.87,0,12.1,0
JNPT_TO_CHAKAN,136.67,1.75,1.98,19.86,37.26,0,1.89,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.77,57.03,66.76,0,15.8,0
JNPT_TO_BHIWANDI,67.55,0.92,4.31,37.07,0.71,0,1.01,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.5,41.41,196.37,0,1.92,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.56,24.88,53.72,0,2.2,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.57,10.83,68.21,0,2.08,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.53,31.99,160.43,0,13.46,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.27,57.64,43.51,0,10.51,0
JNPT_TO_BHIWANDI,67.55,0.92,0.28,53.6,105.66,0,0.9,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.56,16.31,100.63,0,14.95,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.24,53.34,89.63,0,13.58,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.2,24.5,272.21,0,2.16,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.65,10.83,114.79,0,13.99,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.07,25.03,57.38,0,1.9,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.73,48.38,412.28,0,13.88,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.16,53.81,82.8,0,12.74,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,4.35,39.69,9.11,0,14.33,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,4.13,52.89,2.57,0,13.46,0
JNPT_TO_BHIWANDI,67.55,0.92,1.99,52.11,3.86,0,0.99,0
JNPT_TO_CHAKAN,136.67,1.75,0.25,32.97,13.31,0,1.73,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.24,51.27,26.88,0,2.18,0
JNPT_TO_BHIWANDI,67.55,0.92,0.1,12.04,168.16,0,0.87,0
JNPT_TO_BHIWANDI,67.55,0.92,1.63,41.32,89.57,0,1.09,0
JNPT_TO_CHAKAN,136.67,1.75,0.49,47.07,11.48,0,1.72,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.5,44.13,143.64,0,12.01,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.47,28.22,103.87,1,15.94,0
JNPT_TO_CHAKAN,136.67,1.75,0.58,51.89,158.66,0,1.84,0
MUNDRA_TO_BHIWANDI,872.85,11.64,3.28,23.7,325.72,0,11.45,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.76,50.48,273.88,0,12.45,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.17,45.45,11.6,0,2.22,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.51,20.32,282.1,0,13.84,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.64,54.66,65.46,0,2.06,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.52,17.06,17.08,0,14.58,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.28,55.93,66.36,0,13.84,0
BHIWANDI_TO_CHAKAN,156.03,1.93,2.51,58.1,117.03,0,2.29,0
JNPT_TO_BHIWANDI,67.55,0.92,7.44,18.89,6.58,0,0.95,0
JNPT_TO_BHIWANDI,67.55,0.92,1.47,10.71,120.91,0,0.96,0
JNPT_TO_BHIWANDI,67.55,0.92,1.03,52.11,8.7,0,1.09,0
JNPT_TO_BHIWANDI,67.55,0.92,0.52,44.27,193.27,0,0.96,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.69,14.94,67.1,1,5.26,1
BHIWANDI_TO_CHAKAN,156.03,1.93,0.59,38.54,98.99,0,1.98,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.57,32.88,460.07,0,13.9,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,8.79,21.93,21.18,0,15.44,0
JNPT_TO_BHIWANDI,67.55,0.92,1.52,56.17,852.07,0,1.95,1
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,15.26,44.55,61.88,0,17.06,1
BHIWANDI_TO_CHAKAN,156.03,1.93,0.68,50.11,30.9,0,1.97,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.29,37.44,30.37,0,13.62,0
JNPT_TO_CHAKAN,136.67,1.75,1.91,25.64,42.76,0,1.91,0
JNPT_TO_CHAKAN,136.67,1.75,4.57,42.9,55.74,0,2.03,0
JNPT_TO_BHIWANDI,67.55,0.92,0.92,45.17,13.78,0,0.94,0
JNPT_TO_CHAKAN,136.67,1.75,1.63,19.93,82.53,0,2.02,0
JNPT_TO_BHIWANDI,67.55,0.92,1.33,37.77,13.44,0,0.87,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.45,53.84,6.37,0,1.85,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.81,57.93,193.74,0,12.78,0
JNPT_TO_BHIWANDI,67.55,0.92,0.72,21.08,37.84,0,0.84,0
JNPT_TO_CHAKAN,136.67,1.75,0.8,55.12,43.2,0,2.01,0
JNPT_TO_CHAKAN,136.67,1.75,1.46,54.22,280.65,0,1.92,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.51,52.4,32.51,0,15.76,0
JNPT_TO_CHAKAN,136.67,1.75,1.23,38.25,116.48,0,1.69,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.39,40.5,15.31,0,1.9,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.54,49.33,205.24,0,1.91,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.07,56.84,127.49,0,1.9,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.64,24.27,48.55,0,11.98,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.21,11.34,23.63,0,1.95,0
JNPT_TO_CHAKAN,136.67,1.75,5.62,20.16,83.85,1,7.83,1
JNPT_TO_CHAKAN,136.67,1.75,1.77,36.0,34.38,0,1.69,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.71,27.48,102.42,0,12.25,0
JNPT_TO_CHAKAN,136.67,1.75,0.54,28.12,120.12,0,1.61,0
JNPT_TO_CHAKAN,136.67,1.75,0.55,38.38,5.98,0,1.93,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.2,17.36,92.3,0,2.02,0
JNPT_TO_CHAKAN,136.67,1.75,0.61,10.79,89.65,0,1.7,0
JNPT_TO_CHAKAN,136.67,1.75,1.73,31.23,36.66,0,1.93,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.8,32.47,35.74,0,1.86,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.13,16.28,14.4,0,13.68,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.41,10.9,3.32,0,12.78,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.21,21.92,12.86,0,1.75,0
JNPT_TO_BHIWANDI,67.55,0.92,1.35,44.63,176.78,0,0.98,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.72,19.5,172.43,0,1.75,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.9,39.35,122.08,0,12.66,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.36,33.71,196.57,0,1.98,0
JNPT_TO_BHIWANDI,67.55,0.92,12.05,35.54,29.37,0,0.93,0
MUNDRA_TO_BHIWANDI,872.85,11.64,5.95,13.19,80.45,0,13.06,0
JNPT_TO_CHAKAN,136.67,1.75,1.72,17.59,234.53,0,1.69,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.51,10.64,290.31,0,13.63,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.48,29.5,27.96,0,13.84,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.39,26.43,1.57,0,2.01,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.63,49.11,111.49,0,1.98,0
JNPT_TO_CHAKAN,136.67,1.75,0.37,53.97,28.27,0,2.03,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.01,22.78,10.73,0,2.18,0
JNPT_TO_CHAKAN,136.67,1.75,1.73,20.55,0.29,0,1.79,0
JNPT_TO_CHAKAN,136.67,1.75,1.18,23.26,36.74,0,2.08,0
JNPT_TO_CHAKAN,136.67,1.75,0.01,10.21,99.91,0,2.03,0
JNPT_TO_CHAKAN,136.67,1.75,0.73,22.14,102.45,0,1.7,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.56,24.5,140.14,0,12.49,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.79,47.73,35.69,0,11.46,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.14,41.44,6.17,0,14.91,0
JNPT_TO_BHIWANDI,67.55,0.92,3.87,53.44,77.1,0,0.91,0
JNPT_TO_CHAKAN,136.67,1.75,0.01,46.96,220.99,0,1.87,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.04,27.63,208.26,0,2.21,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.98,35.84,64.19,0,1.82,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.39,25.02,79.02,0,14.39,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.55,33.12,123.53,0,1.87,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.77,51.43,231.65,0,1.77,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.91,42.78,7.93,0,13.6,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.18,16.47,67.77,0,2.32,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.46,35.16,42.0,0,14.71,0
JNPT_TO_BHIWANDI,67.55,0.92,1.96,13.23,3.91,0,0.83,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.59,24.6,73.52,0,12.12,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.65,18.66,167.29,0,2.05,0
BHIWANDI_TO_CHAKAN,156.03,1.93,6.19,47.7,3.12,0,1.9,0
JNPT_TO_BHIWANDI,67.55,0.92,0.89,19.22,92.45,0,0.99,0
JNPT_TO_BHIWANDI,67.55,0.92,1.43,41.78,45.79,0,1.0,0
JNPT_TO_CHAKAN,136.67,1.75,0.18,11.5,174.79,0,1.94,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.86,39.12,186.26,0,1.79,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.24,34.01,69.31,0,14.3,0
JNPT_TO_CHAKAN,136.67,1.75,2.58,44.54,205.64,0,1.64,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.97,50.23,32.78,0,1.96,0
JNPT_TO_CHAKAN,136.67,1.75,0.99,46.44,29.54,0,2.07,0
JNPT_TO_BHIWANDI,67.55,0.92,0.81,18.4,30.85,0,1.04,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.3,24.15,142.02,0,15.76,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.91,49.69,31.26,0,14.29,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.43,50.77,66.06,0,12.06,0
JNPT_TO_CHAKAN,136.67,1.75,0.37,21.09,731.4,0,2.75,1
JNPT_TO_BHIWANDI,67.55,0.92,0.17,16.3,85.1,0,1.02,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.49,27.52,223.69,0,10.67,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.14,43.34,33.39,0,15.3,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,4.5,47.04,37.91,0,12.14,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.3,49.94,26.49,0,12.02,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.12,51.28,118.55,0,2.25,0
JNPT_TO_BHIWANDI,67.55,0.92,1.96,17.26,5.33,0,0.87,0
BHIWANDI_TO_CHAKAN,156.03,1.93,1.37,22.41,20.3,0,1.85,0
JNPT_TO_BHIWANDI,67.55,0.92,1.31,45.14,3.98,0,0.97,0
MUNDRA_TO_BHIWANDI,872.85,11.64,0.86,48.61,206.74,1,17.33,1
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.93,15.3,15.98,0,15.4,0
JNPT_TO_CHAKAN,136.67,1.75,1.29,19.67,99.42,0,1.71,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,0.73,26.83,33.84,1,20.56,1
MUNDRA_TO_BHIWANDI,872.85,11.64,0.14,37.15,227.48,0,11.05,0
JNPT_TO_BHIWANDI,67.55,0.92,5.18,38.31,176.08,0,1.03,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.64,42.85,163.37,0,13.43,0
CHAKAN_TO_SRIPERUMBUDUR,1094.0,13.23,1.66,10.44,57.4,0,13.29,0
MUNDRA_TO_BHIWANDI,872.85,11.64,2.99,47.58,398.75,0,11.2,0
JNPT_TO_CHAKAN,136.67,1.75,15.5,19.03,166.68,0,3.57,1
JNPT_TO_CHAKAN,136.67,1.75,0.46,41.8,119.07,0,1.75,0
BHIWANDI_TO_CHAKAN,156.03,1.93,0.06,10.53,9.76,0,2.07,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.69,27.92,206.58,0,13.88,0
JNPT_TO_BHIWANDI,67.55,0.92,0.93,59.35,238.62,0,0.88,0
MUNDRA_TO_BHIWANDI,872.85,11.64,21.82,57.27,102.62,0,15.52,1
BHIWANDI_TO_CHAKAN,156.03,1.93,1.14,42.44,28.04,0,2.04,0
JNPT_TO_CHAKAN,136.67,1.75,0.84,21.21,208.87,0,1.93,0
MUNDRA_TO_BHIWANDI,872.85,11.64,1.66,37.88,7.29,0,13.79,0
